Market_Name,Product_Name,Price
Carrefour,Maydanoz Adet,7.9
Carrefour,Dereotu Adet,29.9
Migros,Karnabahar Kg,11.9
Migros,Ispanak Kg,23.9
Carrefour,Nane Adet,21.9
Migros,Fasulye Ayşe Kadın Kg,24.9
Carrefour,Pancar Kg,14.9
Carrefour,Marul Adet,27.9
Migros,Soğan Arpacık Kg,14.9
Migros,Eurofresh Yıkanmış Karnabahar 500 G,27.9
Carrefour,Limon Kg,18.9
Carrefour,Mandalina Naturel Kg,21.9
Carrefour,Avokado Adet,29.9
Migros,Ananas Adet,18.9
Carrefour,Portakal Kg,69.9
Migros,Elma Starking Kg,19.9
Migros,Armut Santa Maria Kg,13.75
Migros,Elma Golden Kg,19.9
Migros,Nar Kg,16.9
Carrefour,Ayva Kg,32.9
Carrefour,Kavun Kırkağaç Kg,21.9
Carrefour,Üzüm Red Globe Kg,27.9
Migros,Greyfurt Kg,19.9
Migros,Kivi Kg,19.9
Migros,Mango Adet,22.9
Migros,Kestane Kg,19.9
Migros,Dana Antrikot Kg,17.9
Migros,Kuzu İncik Kg,35.95
Migros,Kuzu Pirzola Kg,43.95
Migros,Kuzu Kuşbaşı Kg,49.9
Migros,Dana Bonfile Kg,149.9
Migros,Dana Kontrafile Kg,169.92
Migros,Superfresh Baba Burger 360 G,62.6
Carrefour,Banvit Piliç Baget Kg,178.11
Carrefour,Bolca Hindi Pirzola Kemiksiz Kg,79.99
Carrefour,Banvit Çıtır Piliç Parmak 225 G,74.93
Carrefour,Banvit Çıtır Piliç Küpleri 225 G,62.37
Carrefour,Banvit Çıtır Piliç Kanat 300 G,373.75
Carrefour,Namet 7/24 Dana Macar Salam 60 G,61.9
Carrefour,Pınar Aç Bitir Macar Salam 60 G,64.9
Migros,Cumhuriyet Kangal Sucuk Kg,15.6
Migros,Namet Macar Salam Kg,36.4
Carrefour,Maret Pratik Hindi Salam 60 G,49.9
Carrefour,Apikoğlu Parça Pastırma 80 G,54.9
