Market_Name,Product_Name,Price
Carrefour,Maydanoz Adet,3.45
Migros,Dereotu Adet,6.45
Carrefour,Karnabahar Kg,12.95
Migros,Nane Adet,6.95
Migros,Ispanak Kg,24.9
Carrefour,Fasulye Ayşe Kadın Kg,32.9
Carrefour,Marul Adet,14.9
Carrefour,Soğan Arpacık Kg,33.9
Carrefour,Limon Kg,15.9
Carrefour,Avokado Adet,12.9
Migros,Ananas Adet,39.9
Migros,Elma Starking Kg,16.9
Carrefour,Portakal Kg,16.9
Carrefour,Nar Kg,20.9
Carrefour,Armut Santa Maria Kg,26.9
Migros,Elma Golden Kg,16.9
Carrefour,Ayva Kg,9.9
Carrefour,Üzüm Red Globe Kg,16.9
Migros,Mango Adet,24.9
Carrefour,Kestane Kg,49.9
Carrefour,Dana Antrikot Kg,239.9
Carrefour,Kuzu Pirzola Kg,230.9
Carrefour,Kuzu Kuşbaşı Kg,167.9
Carrefour,Kuzu İncik Kg,147.9
Carrefour,Dana Bonfile Kg,326.9
Migros,Dana Kontrafile Kg,199.9
Migros,Superfresh Baba Burger 360 G,114.9
Carrefour,Banvit Piliç Baget Kg,39.9
Migros,Beypiliç Poşetli Bütün Piliç Kg,41.9
Carrefour,Bolca Hindi Pirzola Kemiksiz Kg,77.9
Carrefour,Banvit Çıtır Piliç Parmak 225 G,29.9
Carrefour,Banvit Hindi Göğüs Kuşbaşı 500 G,54.9
Carrefour,Banvit Çıtır Piliç Küpleri 225 G,29.9
Carrefour,Banvit Çıtır Piliç Kanat 300 G,29.9
Migros,Banvit Hindi Bonfile 500 G,69.75
Migros,Banvit Hindi Kalça Kuşbaşı 500 G,72.5
Migros,Namet 7/24 Dana Macar Salam 60 G,11.95
Migros,Pınar Aç Bitir Macar Salam 60 G,18.9
Carrefour,Cumhuriyet Kangal Sucuk Kg,349.9
Carrefour,Namet Macar Salam Kg,219.9
Migros,Maret Pratik Hindi Salam 60 G,14.9
Migros,Cumhuriyet Parmak Sucuk Kg,329.0
Migros,Torku Dilimli Fıstıklı Salam 50 G,15.9
Migros,Polonez Hindi Salam 110 G,19.9
Migros,Pınar Aç Bitir Sucuk 90 G,30.9
Carrefour,Namet Piliç Füme 150 G,26.9
Carrefour,Pınar Gurme Sucuk 250 G,86.45
Migros,Polonez Macar Salam Kg,273.0
Carrefour,Namet Fıstıklı Macar Salam Kg,219.9
Migros,Polonez Hindi Parça Etli Salam 110 G,19.9
Carrefour,Aytaç Hindi Mangal Sucuk 280 G,42.9
Carrefour,Namet Dana Jambon Kg,279.9
Carrefour,Maret Hindi Füme 110 G,21.9
Carrefour,Erşan Kuru Et 100 G,79.9
Migros,Banvit Tütsülenmiş Cheddarlı Piliç Jumbo Sosis 250 G,33.5
Migros,Polonez Dana Jambon 150 G,45.9
Migros,Dardanel Levrek Çorbası 500 G,79.9
Carrefour,Alabalık Kg,89.99
Migros,Pınar Süzme Peynir 500 G,54.5
Migros,Torku Süzme Peynir 450 G,52.9
Migros,İçim Labne 200 G,22.95
Carrefour,Pınar Kahvaltı Keyfi Tost Peyniri 600 G,99.95
Migros,Muratbey Burgu Peyniri 200 G,48.9
Migros,Bahçıvan Çeçil Peyniri 200 G,58.75
Carrefour,Tahsildaroğlu Dil Peyniri 250 G,59.9
Migros,Tahsildaroğlu Taze Kaşar Peyniri 400 G,99.9
Carrefour,Tahsildaroğlu Kahvaltılık Lor 300 G,27.9
Migros,Bahçıvan Dil Peyniri 200 G,58.75
Migros,Ünal Çeçil Peyniri Kg,259.9
Carrefour,İçim Taze Peynir 180 G,23.25
Migros,Bahçıvan Dilimli Tost Peyniri 500 G,129.5
Carrefour,Pınar Labne Peynir 400 G,34.9
Carrefour,Pınar Dilimli Tost Peyniri 350 G,74.9
Carrefour,Torku Labne 400 G,38.55
Migros,Bahçıvan Örgü Peyniri 200 G,58.75
Carrefour,Pınar Dilimli Tost Peyniri 500 G,92.95
Carrefour,Muratbey Burgu Peynir Kg,199.95
Carrefour,Kiri Tam Yağlı Taze Peynir 150 G,25.9
Migros,İçim Dilimli Tost Peyniri 200 G,39.9
Carrefour,Sek Quark Sade 140 G,11.5
Carrefour,Tahsildaroğlu Tam Yağlı Beyaz Peynir 800 G,93.95
